src,dst,peak,off_peak,senior_disabled,miles
36,98,4.8,3.4,2.4,9.97
36,6,5.7,3.85,2.85,12.31
36,19,6.0,3.85,3.0,14.78
36,76,5.5,3.85,2.75,11.74
36,51,5.75,3.85,2.85,12.37
36,61,6.0,3.85,3.0,13.08
36,69,6.0,3.85,3.0,13.63
36,8,6.0,3.85,3.0,19.24
36,74,6.0,3.85,3.0,20.35
36,28,6.0,3.85,3.0,21.7
36,29,6.0,3.85,3.0,23.39
36,84,6.0,3.85,3.0,25.3
36,90,6.0,3.85,3.0,27.25
36,44,6.0,3.85,3.0,29.14
49,81,2.05,2.0,1.0,3.1
49,73,2.0,2.0,1.0,2.41
49,25,2.0,2.0,1.0,1.9
49,36,2.0,2.0,1.0,0.71
49,43,2.0,2.0,1.0,0.63
49,42,2.0,2.0,1.0,1.62
49,82,2.0,2.0,1.0,2.37
49,4,2.4,2.25,1.2,4.04
49,45,2.8,2.5,1.4,5.06
49,35,3.7,3.0,1.85,7.26
49,21,4.25,3.3,2.1,8.64
49,5,4.7,3.4,2.35,9.74
49,62,5.5,3.85,2.75,11.69
49,17,6.0,3.85,3.0,14.35
49,63,2.15,2.1,1.05,3.32
49,50,2.25,2.15,1.1,3.67
49,100,2.45,2.3,1.2,4.13
49,20,2.75,2.45,1.35,4.87
49,12,2.9,2.55,1.45,5.28
49,101,3.1,2.6,1.55,5.78
49,97,3.55,2.6,1.75,6.93
49,9,4.0,3.15,2.0,8.01
49,86,4.6,3.4,2.3,9.49
49,54,5.2,3.8,2.6,11.04
49,22,5.9,3.85,2.95,12.76
49,83,2.55,2.35,1.25,4.36
49,64,2.05,2.0,1.0,3.1
49,59,2.05,2.05,1.0,3.16
49,72,2.1,2.05,1.05,3.27
49,95,2.2,2.1,1.1,3.48
49,32,2.55,2.3,1.25,4.33
49,77,2.85,2.5,1.4,5.15
49,10,3.05,2.6,1.5,5.62
49,40,3.25,2.6,1.6,6.17
49,68,3.45,2.6,1.7,6.68
49,57,3.65,3.0,1.8,7.13
49,33,4.25,3.3,2.1,8.63
49,80,4.8,3.4,2.4,9.99
49,65,5.05,3.7,2.5,10.57
49,34,5.25,3.85,2.6,11.15
49,13,5.45,3.85,2.7,11.65
49,23,2.15,2.1,1.05,3.38
49,93,2.3,2.2,1.15,3.73
49,60,2.45,2.3,1.2,4.17
49,11,2.55,2.35,1.25,4.42
49,66,2.75,2.45,1.35,4.88
49,70,2.9,2.55,1.45,5.31
49,56,3.15,2.6,1.55,5.9
49,1,3.3,2.6,1.65,6.3
49,53,3.95,3.15,1.95,7.86
49,67,4.2,3.25,2.1,8.49
49,96,4.6,3.4,2.3,9.5
49,26,5.2,3.8,2.6,11.05
49,38,5.75,3.85,2.85,12.32
49,78,2.15,2.1,1.05,3.41
49,15,2.2,2.1,1.1,3.49
49,46,2.2,2.15,1.1,3.53
49,2,2.3,2.15,1.15,3.69
49,91,2.55,2.35,1.25,4.34
49,47,3.1,2.6,1.55,5.78
49,52,3.85,3.1,1.9,7.67
49,39,4.3,3.3,2.15,8.74
49,88,5.05,3.75,2.5,10.6
49,79,5.9,3.85,2.95,12.77
49,24,2.15,2.1,1.05,3.32
49,41,2.25,2.15,1.1,3.66
49,18,2.45,2.3,1.2,4.17
49,48,2.75,2.45,1.35,4.88
49,16,2.95,2.6,1.45,5.36
49,58,3.4,2.6,1.7,6.48
49,7,3.9,3.1,1.95,7.74
49,55,4.25,3.3,2.1,8.6
49,94,4.5,3.4,2.25,9.27
49,37,5.05,3.75,2.5,10.6
49,87,5.7,3.85,2.85,12.3
49,89,4.15,3.25,2.05,8.39
49,27,4.7,3.4,2.35,9.81
49,14,5.1,3.75,2.55,10.79
49,71,5.65,3.85,2.8,12.15
49,3,6.0,3.85,3.0,13.39
49,31,6.0,3.85,3.0,13.12
49,102,6.0,3.85,3.0,16.35
49,75,2.9,2.55,1.45,5.22
49,30,3.1,2.6,1.55,5.69
49,92,3.25,2.6,1.6,6.13
49,85,3.45,2.6,1.7,6.61
49,99,4.25,3.3,2.1,8.66
49,98,4.9,3.65,2.45,10.27
49,6,5.85,3.85,2.9,12.63
49,19,6.0,3.85,3.0,15.09
49,76,5.6,3.85,2.8,11.96
49,51,5.85,3.85,2.9,12.6
49,61,6.0,3.85,3.0,13.31
49,69,6.0,3.85,3.0,13.84
49,8,6.0,3.85,3.0,19.42
49,74,6.0,3.85,3.0,20.53
49,28,6.0,3.85,3.0,21.87
49,29,6.0,3.85,3.0,23.57
49,84,6.0,3.85,3.0,25.48
49,90,6.0,3.85,3.0,27.4
49,44,6.0,3.85,3.0,29.28
43,81,2.3,2.2,1.15,3.73
43,73,2.0,2.0,1.0,3.04
43,25,2.0,2.0,1.0,2.53
43,36,2.0,2.0,1.0,1.34
43,49,2.0,2.0,1.0,0.63
43,42,2.0,2.0,1.0,1.04
43,82,2.0,2.0,1.0,1.76
43,4,2.15,2.1,1.05,3.41
43,45,2.55,2.35,1.25,4.43
43,35,3.45,2.6,1.7,6.63
43,21,4.0,3.15,2.0,8.02
43,5,4.45,3.4,2.2,9.11
43,62,5.2,3.8,2.6,11.06
43,17,6.0,3.85,3.0,13.72
43,63,2.4,2.25,1.2,3.95
43,50,2.5,2.3,1.25,4.29
43,100,2.7,2.4,1.35,4.74
43,20,2.95,2.6,1.45,5.41
43,12,3.1,2.6,1.55,5.75
43,101,3.25,2.6,1.6,6.15
43,97,3.65,2.95,1.8,7.11
43,9,4.05,3.2,2.0,8.11
43,86,4.6,3.4,2.3,9.54
43,54,5.25,3.85,2.6,11.08
43,22,5.9,3.85,2.95,12.79
43,83,2.8,2.5,1.4,4.95
43,64,2.3,2.2,1.15,3.73
43,59,2.3,2.2,1.15,3.79
43,72,2.35,2.2,1.15,3.9
43,95,2.45,2.25,1.2,4.1
43,32,2.75,2.45,1.35,4.9
43,77,3.1,2.6,1.55,5.75
43,10,3.3,2.6,1.65,6.23
43,40,3.5,2.6,1.75,6.78
43,68,3.7,3.0,1.85,7.29
43,57,3.9,3.1,1.95,7.74
43,33,4.5,3.4,2.25,9.24
43,80,5.05,3.7,2.5,10.59
43,65,5.25,3.85,2.6,11.17
43,34,5.5,3.85,2.75,11.75
43,13,5.7,3.85,2.85,12.24
43,23,2.4,2.25,1.2,4.01
43,93,2.55,2.35,1.25,4.36
43,60,2.7,2.45,1.35,4.8
43,11,2.8,2.5,1.4,5.04
43,66,3.0,2.6,1.5,5.5
43,70,3.15,2.6,1.55,5.92
43,56,3.4,2.6,1.7,6.51
43,1,3.55,2.6,1.75,6.9
43,53,4.15,3.25,2.05,8.41
43,67,4.4,3.4,2.2,9.02
43,96,4.8,3.6,2.4,10.0
43,26,5.4,3.85,2.7,11.5
43,38,5.9,3.85,2.95,12.74
43,78,2.4,2.25,1.2,4.02
43,15,2.45,2.25,1.2,4.09
43,46,2.45,2.3,1.2,4.13
43,2,2.5,2.3,1.25,4.25
43,91,2.7,2.45,1.35,4.8
43,47,3.25,2.6,1.6,6.15
43,52,4.0,3.15,2.0,8.04
43,39,4.45,3.4,2.2,9.09
43,88,5.15,3.8,2.55,10.93
43,79,6.0,3.85,3.0,13.05
43,24,2.4,2.25,1.2,3.95
43,41,2.5,2.3,1.25,4.28
43,18,2.7,2.45,1.35,4.8
43,48,3.0,2.6,1.5,5.51
43,16,3.2,2.6,1.6,5.98
43,58,3.65,2.95,1.8,7.1
43,7,4.15,3.25,2.05,8.37
43,55,4.5,3.4,2.25,9.22
43,94,4.75,3.4,2.35,9.88
43,37,5.3,3.85,2.65,11.21
43,87,5.95,3.85,2.95,12.91
43,89,4.4,3.35,2.2,8.95
43,27,4.95,3.65,2.45,10.36
43,14,5.35,3.85,2.65,11.33
43,71,5.85,3.85,2.9,12.67
43,3,6.0,3.85,3.0,13.9
43,31,6.0,3.85,3.0,13.65
43,102,6.0,3.85,3.0,16.87
43,75,3.1,2.6,1.55,5.75
43,30,3.3,2.6,1.65,6.2
43,92,3.45,2.6,1.7,6.62
43,85,3.65,2.95,1.8,7.08
43,99,4.4,3.4,2.2,9.03
43,98,5.0,3.7,2.5,10.56
43,6,6.0,3.85,3.0,12.94
43,19,6.0,3.85,3.0,15.39
43,76,5.65,3.85,2.8,12.18
43,51,5.95,3.85,2.95,12.83
43,61,6.0,3.85,3.0,13.53
43,69,6.0,3.85,3.0,14.04
43,8,6.0,3.85,3.0,19.59
43,74,6.0,3.85,3.0,20.7
43,28,6.0,3.85,3.0,22.04
43,29,6.0,3.85,3.0,23.73
43,84,6.0,3.85,3.0,25.65
43,90,6.0,3.85,3.0,27.54
43,44,6.0,3.85,3.0,29.41
42,81,2.7,2.4,1.35,4.7
42,73,2.4,2.25,1.2,3.99
42,25,2.2,2.1,1.1,3.48
42,36,2.0,2.0,1.0,2.31
42,49,2.0,2.0,1.0,1.62
42,43,2.0,2.0,1.0,1.04
42,82,2.0,2.0,1.0,0.78
42,4,2.0,2.0,1.0,2.5
42,45,2.2,2.15,1.1,3.54
42,35,3.1,2.6,1.55,5.76
42,21,3.65,3.0,1.8,7.14
42,5,4.1,3.2,2.05,8.23
42,62,4.85,3.65,2.4,10.15
42,17,5.9,3.85,2.95,12.81
42,63,2.75,2.45,1.35,4.93
42,50,2.9,2.55,1.45,5.28
42,100,3.1,2.6,1.55,5.75
42,20,3.4,2.6,1.7,6.45
42,12,3.5,2.6,1.75,6.79
42,101,3.65,2.95,1.8,7.12
42,97,3.95,3.15,1.95,7.92
42,9,4.3,3.3,2.15,8.74
42,86,4.8,3.6,2.4,10.05
42,54,5.4,3.85,2.7,11.53
42,22,6.0,3.85,3.0,13.21
42,83,3.2,2.6,1.6,5.98
42,64,2.7,2.4,1.35,4.7
42,59,2.7,2.45,1.35,4.75
42,72,2.75,2.45,1.35,4.83
42,95,2.8,2.5,1.4,4.99
42,32,3.05,2.6,1.5,5.65
42,77,3.4,2.6,1.7,6.54
42,10,3.6,2.95,1.8,7.05
42,40,3.85,3.05,1.9,7.57
42,68,4.05,3.2,2.0,8.12
42,57,4.25,3.3,2.1,8.59
42,33,4.8,3.6,2.4,10.06
42,80,5.35,3.85,2.65,11.39
42,65,5.6,3.85,2.8,11.95
42,34,5.8,3.85,2.9,12.49
42,13,6.0,3.85,3.0,12.98
42,23,2.8,2.5,1.4,4.97
42,93,2.9,2.55,1.45,5.3
42,60,3.1,2.6,1.55,5.75
42,11,3.2,2.6,1.6,6.01
42,66,3.4,2.6,1.7,6.49
42,70,3.55,2.6,1.75,6.93
42,56,3.8,3.05,1.9,7.52
42,1,3.95,3.15,1.95,7.92
42,53,4.6,3.4,2.3,9.45
42,67,4.8,3.6,2.4,10.06
42,96,5.2,3.8,2.6,11.04
42,26,5.8,3.85,2.9,12.52
42,38,6.0,3.85,3.0,13.74
42,78,2.8,2.5,1.4,5.03
42,15,2.85,2.5,1.4,5.11
42,46,2.85,2.55,1.4,5.16
42,2,2.9,2.55,1.45,5.29
42,91,3.15,2.6,1.55,5.83
42,47,3.65,2.95,1.8,7.12
42,52,4.4,3.4,2.2,9.02
42,39,4.8,3.6,2.4,10.05
42,88,5.55,3.85,2.75,11.86
42,79,6.0,3.85,3.0,13.91
42,24,2.75,2.45,1.35,4.93
42,41,2.9,2.55,1.45,5.26
42,18,3.1,2.6,1.55,5.75
42,48,3.4,2.6,1.7,6.46
42,16,3.6,2.6,1.8,6.96
42,58,4.05,3.2,2.0,8.08
42,7,4.55,3.4,2.25,9.33
42,55,4.9,3.65,2.45,10.2
42,94,5.15,3.8,2.55,10.89
42,37,5.7,3.85,2.85,12.22
42,87,6.0,3.85,3.0,13.92
42,89,4.8,3.6,2.4,10.0
42,27,5.35,3.85,2.65,11.4
42,14,5.75,3.85,2.85,12.37
42,71,6.0,3.85,3.0,13.72
42,3,6.0,3.85,3.0,14.94
42,31,6.0,3.85,3.0,14.26
42,102,6.0,3.85,3.0,17.43
42,75,3.35,2.6,1.65,6.39
42,30,3.5,2.6,1.75,6.8
42,92,3.7,3.0,1.85,7.19
42,85,3.85,3.1,1.9,7.6
42,99,4.55,3.4,2.25,9.38
42,98,5.1,3.75,2.55,10.8
42,6,6.0,3.85,3.0,13.18
42,19,6.0,3.85,3.0,15.6
