Dept,Arriv,ST_Peak,ST_Offpeak,RedST_Peak,RedST_Offpeak
Morgan Boulevard Metro Station,Twinbrook Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,White Flint Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Grosvenor-strathmore Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Medical Center Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Bethesda Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Foggy Bottom-gwu Metro Station,4.6,3.8,2.3,2.3
Morgan Boulevard Metro Station,Court House Metro Station,5.25,3.85,2.6,2.6
Morgan Boulevard Metro Station,Clarendon Metro Station,5.4,3.85,2.7,2.7
Morgan Boulevard Metro Station,East Falls Church Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Virginia Square-gmu Metro Station,5.5,3.85,2.75,2.75
Morgan Boulevard Metro Station,Ballston-mu Metro Station,5.7,3.85,2.85,2.85
Morgan Boulevard Metro Station,Farragut West Metro Station,4.45,3.65,2.2,2.2
Morgan Boulevard Metro Station,Farragut North Metro Station,4.45,3.65,2.2,2.2
Morgan Boulevard Metro Station,Woodley Park-zoo Metro,4.85,3.85,2.4,2.4
Morgan Boulevard Metro Station,L'enfant Plaza Metro Station,4.05,3.35,2,2
Morgan Boulevard Metro Station,Smithsonian Metro Station,4.15,3.4,2.05,2.05
Morgan Boulevard Metro Station,Pentagon City Metro Station,4.8,3.85,2.4,2.4
Morgan Boulevard Metro Station,Federal Triangle Metro Station,4.2,3.4,2.1,2.1
Morgan Boulevard Metro Station,Archives-navy Memorial Metro Station,4.1,3.4,2.05,2.05
Morgan Boulevard Metro Station,Waterfront Metro Station,4.15,3.4,2.05,2.05
Morgan Boulevard Metro Station,National Airport Metro Station,4.85,3.85,2.4,2.4
Morgan Boulevard Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,Federal Center Sw Metro Station,3.95,3.25,1.95,1.95
Morgan Boulevard Metro Station,Judiciary Square Metro Station,4.2,3.4,2.1,2.1
Morgan Boulevard Metro Station,Capitol South Metro Station,3.8,3.15,1.9,1.9
Morgan Boulevard Metro Station,Metro Center,4.25,3.4,2.1,2.1
Morgan Boulevard Metro Station,Gallery Pl-chinatown Metro Station,4.15,3.4,2.05,2.1
Morgan Boulevard Metro Station,Mount Vernon Square Metro Station,4.25,3.4,2.1,2.1
Morgan Boulevard Metro Station,U Street Metro Station,4.45,3.65,2.2,2.2
Morgan Boulevard Metro Station,Union Station Metro Station,4.2,3.4,2.1,2.1
Morgan Boulevard Metro Station,Congress Heights Metro Station,4.45,3.65,2.2,2.2
